dataset,target_size,algorithm,time,oa,aa,k,selected_features,selected_weights
salinas,20,v3,0.0,0.917,0.954,0.954,5|14|16|29|31|37|40|69|89|106|107|110|111|114|131|134|147|148|151|157,0.11891743540763855|0.06196626275777817|0.11132010817527771|0.7000780701637268|0.06361693888902664|0.4833362102508545|0.2866956293582916|0.9858484864234924|0.21432320773601532|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.7464770674705505|0.2952450215816498|0.01948198862373829|1.0607802867889404|0.8406703472137451|0.0251846294850111|0.6441916227340698
salinas,19,v3,0.0,0.912,0.952,0.952,5|14|16|29|31|37|69|89|106|107|110|111|114|131|134|147|148|151|157,0.11891743540763855|0.06196626275777817|0.11132010817527771|0.7000780701637268|0.06361693888902664|0.4833362102508545|0.9858484864234924|0.21432320773601532|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.7464770674705505|0.2952450215816498|0.01948198862373829|1.0607802867889404|0.8406703472137451|0.0251846294850111|0.6441916227340698
salinas,18,v3,0.0,0.91,0.95,0.95,5|14|16|29|31|37|69|106|107|110|111|114|131|134|147|148|151|157,0.11891743540763855|0.06196626275777817|0.11132010817527771|0.7000780701637268|0.06361693888902664|0.4833362102508545|0.9858484864234924|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.7464770674705505|0.2952450215816498|0.01948198862373829|1.0607802867889404|0.8406703472137451|0.0251846294850111|0.6441916227340698
salinas,17,v3,0.0,0.909,0.949,0.949,5|14|16|29|31|37|69|106|107|110|111|131|134|147|148|151|157,0.11891743540763855|0.06196626275777817|0.11132010817527771|0.7000780701637268|0.06361693888902664|0.4833362102508545|0.9858484864234924|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.2952450215816498|0.01948198862373829|1.0607802867889404|0.8406703472137451|0.0251846294850111|0.6441916227340698
salinas,16,v3,0.0,0.909,0.949,0.949,5|14|16|29|31|37|69|106|107|110|111|131|134|148|151|157,0.11891743540763855|0.06196626275777817|0.11132010817527771|0.7000780701637268|0.06361693888902664|0.4833362102508545|0.9858484864234924|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.2952450215816498|0.01948198862373829|0.8406703472137451|0.0251846294850111|0.6441916227340698
salinas,15,v3,0.0,0.906,0.948,0.948,5|14|16|29|31|37|69|106|107|110|111|131|134|148|151,0.11891743540763855|0.06196626275777817|0.11132010817527771|0.7000780701637268|0.06361693888902664|0.4833362102508545|0.9858484864234924|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.2952450215816498|0.01948198862373829|0.8406703472137451|0.0251846294850111
salinas,14,v3,0.0,0.906,0.945,0.945,5|14|16|29|31|37|106|107|110|111|131|134|148|151,0.11891743540763855|0.06196626275777817|0.11132010817527771|0.7000780701637268|0.06361693888902664|0.4833362102508545|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.2952450215816498|0.01948198862373829|0.8406703472137451|0.0251846294850111
salinas,13,v3,0.0,0.902,0.944,0.944,14|16|29|31|37|106|107|110|111|131|134|148|151,0.06196626275777817|0.11132010817527771|0.7000780701637268|0.06361693888902664|0.4833362102508545|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.2952450215816498|0.01948198862373829|0.8406703472137451|0.0251846294850111
salinas,12,v3,0.0,0.899,0.94,0.94,14|16|29|37|106|107|110|111|131|134|148|151,0.06196626275777817|0.11132010817527771|0.7000780701637268|0.4833362102508545|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.2952450215816498|0.01948198862373829|0.8406703472137451|0.0251846294850111
salinas,11,v3,0.0,0.899,0.94,0.94,14|16|29|37|106|107|110|111|131|148|151,0.06196626275777817|0.11132010817527771|0.7000780701637268|0.4833362102508545|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.2952450215816498|0.8406703472137451|0.0251846294850111
salinas,10,v3,0.0,0.894,0.935,0.935,14|16|29|37|106|107|110|111|148|151,0.06196626275777817|0.11132010817527771|0.7000780701637268|0.4833362102508545|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.8406703472137451|0.0251846294850111
salinas,9,v3,0.0,0.861,0.916,0.916,14|16|37|106|107|110|111|148|151,0.06196626275777817|0.11132010817527771|0.4833362102508545|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.8406703472137451|0.0251846294850111
salinas,8,v3,0.0,0.855,0.909,0.909,16|37|106|107|110|111|148|151,0.11132010817527771|0.4833362102508545|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.8406703472137451|0.0251846294850111
salinas,7,v3,0.0,0.84,0.898,0.898,16|37|106|107|110|111|148,0.11132010817527771|0.4833362102508545|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.8406703472137451
salinas,6,v3,0.0,0.838,0.897,0.897,16|37|107|110|111|148,0.11132010817527771|0.4833362102508545|0.03658369928598404|0.735112726688385|0.06903937458992004|0.8406703472137451
salinas,5,v3,0.0,0.836,0.896,0.896,16|37|107|110|111,0.11132010817527771|0.4833362102508545|0.03658369928598404|0.735112726688385|0.06903937458992004
