dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,9,mcuve,1.505,0.521,0.409,0.433,62|65|66|67|68|69|70|72|77,2
indian_pines,8,mcuve,1.538,0.52,0.392,0.43,62|64|65|66|67|68|69|70,2
indian_pines,7,mcuve,1.52,0.575,0.473,0.5,62|70|73|77|78|79|80,2
indian_pines,6,mcuve,1.501,0.543,0.424,0.461,68|70|77|78|79|80,2
indian_pines,5,mcuve,1.485,0.537,0.403,0.452,68|69|78|79|80,2
indian_pines,30,mcuve,1.449,0.707,0.717,0.666,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|98|147|148|149|151|152|153|170,3
indian_pines,29,mcuve,1.517,0.704,0.728,0.662,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|98|147|148|149|150|152|153,3
indian_pines,28,mcuve,1.468,0.671,0.685,0.625,35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|147|148|149|150|151|152,3
indian_pines,27,mcuve,1.661,0.706,0.695,0.664,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|147|148|149|152|153,3
indian_pines,26,mcuve,1.505,0.694,0.712,0.651,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|98|148|149|152,3
indian_pines,25,mcuve,1.459,0.692,0.677,0.648,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|98|148|152,3
indian_pines,24,mcuve,1.467,0.685,0.686,0.641,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|148|149|150|152,3
indian_pines,23,mcuve,1.453,0.689,0.638,0.644,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|97|98|149,3
indian_pines,22,mcuve,1.478,0.683,0.638,0.637,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|97|152,3
indian_pines,21,mcuve,1.689,0.637,0.586,0.583,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|152,3
indian_pines,20,mcuve,1.473,0.629,0.595,0.575,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|152,3
