dataset,target_size,algorithm,time,oa,aa,k,selected_features,selected_weights
indian_pines,20,v1,0.0,0.751,0.734,0.734,6|7|35|36|42|57|65|69|77|78|80|94|97|98|99|100|128|148|160|176,0.6858637928962708|0.9896284341812134|0.8213761448860168|0.70148766040802|0.7358061075210571|0.004220634698867798|0.6397783756256104|0.23527075350284576|0.7520685791969299|0.542910635471344|0.7189939022064209|0.793738842010498|0.17155864834785461|0.7292212247848511|0.4533735513687134|0.6427525281906128|0.6166375279426575|0.914604663848877|2.275343649671413e-05|0.8727737665176392
indian_pines,19,v1,0.0,0.746,0.726,0.726,6|7|35|36|42|57|65|69|77|78|80|94|97|98|99|100|128|148|160,0.6858637928962708|0.9896284341812134|0.8213761448860168|0.70148766040802|0.7358061075210571|0.004220634698867798|0.6397783756256104|0.23527075350284576|0.7520685791969299|0.542910635471344|0.7189939022064209|0.793738842010498|0.17155864834785461|0.7292212247848511|0.4533735513687134|0.6427525281906128|0.6166375279426575|0.914604663848877|2.275343649671413e-05
indian_pines,18,v1,0.0,0.747,0.728,0.728,6|7|35|36|42|57|65|69|77|80|94|97|98|99|100|128|148|160,0.6858637928962708|0.9896284341812134|0.8213761448860168|0.70148766040802|0.7358061075210571|0.004220634698867798|0.6397783756256104|0.23527075350284576|0.7520685791969299|0.7189939022064209|0.793738842010498|0.17155864834785461|0.7292212247848511|0.4533735513687134|0.6427525281906128|0.6166375279426575|0.914604663848877|2.275343649671413e-05
indian_pines,17,v1,0.0,0.746,0.727,0.727,6|7|35|36|42|57|65|77|80|94|97|98|99|100|128|148|160,0.6858637928962708|0.9896284341812134|0.8213761448860168|0.70148766040802|0.7358061075210571|0.004220634698867798|0.6397783756256104|0.7520685791969299|0.7189939022064209|0.793738842010498|0.17155864834785461|0.7292212247848511|0.4533735513687134|0.6427525281906128|0.6166375279426575|0.914604663848877|2.275343649671413e-05
indian_pines,16,v1,0.0,0.721,0.699,0.699,6|7|35|36|42|57|65|77|80|94|97|98|99|100|128|148,0.6858637928962708|0.9896284341812134|0.8213761448860168|0.70148766040802|0.7358061075210571|0.004220634698867798|0.6397783756256104|0.7520685791969299|0.7189939022064209|0.793738842010498|0.17155864834785461|0.7292212247848511|0.4533735513687134|0.6427525281906128|0.6166375279426575|0.914604663848877
indian_pines,15,v1,0.0,0.715,0.693,0.693,6|7|35|36|42|57|77|80|94|97|98|99|100|128|148,0.6858637928962708|0.9896284341812134|0.8213761448860168|0.70148766040802|0.7358061075210571|0.004220634698867798|0.7520685791969299|0.7189939022064209|0.793738842010498|0.17155864834785461|0.7292212247848511|0.4533735513687134|0.6427525281906128|0.6166375279426575|0.914604663848877
indian_pines,14,v1,0.0,0.713,0.69,0.69,7|35|36|42|57|77|80|94|97|98|99|100|128|148,0.9896284341812134|0.8213761448860168|0.70148766040802|0.7358061075210571|0.004220634698867798|0.7520685791969299|0.7189939022064209|0.793738842010498|0.17155864834785461|0.7292212247848511|0.4533735513687134|0.6427525281906128|0.6166375279426575|0.914604663848877
indian_pines,13,v1,0.0,0.702,0.676,0.676,7|35|36|42|57|77|80|94|97|98|99|100|148,0.9896284341812134|0.8213761448860168|0.70148766040802|0.7358061075210571|0.004220634698867798|0.7520685791969299|0.7189939022064209|0.793738842010498|0.17155864834785461|0.7292212247848511|0.4533735513687134|0.6427525281906128|0.914604663848877
indian_pines,12,v1,0.0,0.699,0.672,0.672,7|35|36|42|77|80|94|97|98|99|100|148,0.9896284341812134|0.8213761448860168|0.70148766040802|0.7358061075210571|0.7520685791969299|0.7189939022064209|0.793738842010498|0.17155864834785461|0.7292212247848511|0.4533735513687134|0.6427525281906128|0.914604663848877
indian_pines,11,v1,0.0,0.7,0.673,0.673,7|35|36|42|77|80|94|97|98|100|148,0.9896284341812134|0.8213761448860168|0.70148766040802|0.7358061075210571|0.7520685791969299|0.7189939022064209|0.793738842010498|0.17155864834785461|0.7292212247848511|0.6427525281906128|0.914604663848877
indian_pines,10,v1,0.0,0.698,0.668,0.668,7|35|36|42|77|94|97|98|100|148,0.9896284341812134|0.8213761448860168|0.70148766040802|0.7358061075210571|0.7520685791969299|0.793738842010498|0.17155864834785461|0.7292212247848511|0.6427525281906128|0.914604663848877
indian_pines,9,v1,0.0,0.701,0.669,0.669,7|35|36|42|77|94|97|98|148,0.9896284341812134|0.8213761448860168|0.70148766040802|0.7358061075210571|0.7520685791969299|0.793738842010498|0.17155864834785461|0.7292212247848511|0.914604663848877
indian_pines,8,v1,0.0,0.704,0.672,0.672,7|35|36|42|77|97|98|148,0.9896284341812134|0.8213761448860168|0.70148766040802|0.7358061075210571|0.7520685791969299|0.17155864834785461|0.7292212247848511|0.914604663848877
indian_pines,7,v1,0.0,0.674,0.635,0.635,35|36|42|77|97|98|148,0.8213761448860168|0.70148766040802|0.7358061075210571|0.7520685791969299|0.17155864834785461|0.7292212247848511|0.914604663848877
indian_pines,6,v1,0.0,0.626,0.55,0.55,35|36|42|77|97|98,0.8213761448860168|0.70148766040802|0.7358061075210571|0.7520685791969299|0.17155864834785461|0.7292212247848511
indian_pines,5,v1,0.0,0.626,0.545,0.545,35|36|42|97|98,0.8213761448860168|0.70148766040802|0.7358061075210571|0.17155864834785461|0.7292212247848511
